KARTE_QUAD,KARTE,QUADRANT,XLU,YLU,XRU,YRU,XRO,YRO,XLO,YLO,XQMITTE,YQMITTE,FLAECHE,FLAECHE_BY,PROZENT
80413,8041,3,4537380,5306888,4543611,5306936,4543569,5312495,4537345,5312448,4540474,5309691,34616550.475,34616550.4751,100
80414,8041,4,4543611,5306936,4549840,5306982,4549793,5312542,4543569,5312495,4546704,5309738,34616786.228,34616786.2278,100
80421,8042,1,4549793,5312542,4556017,5312603,4555963,5318161,4549744,5318100,4552880,5315350,34584221.432,34584221.4317,100
80422,8042,2,4556017,5312603,4562241,5312663,4562180,5318221,4555963,5318161,4559098,5315411,34584506.949,34584506.9495,100
80423,8042,3,4549840,5306982,4556071,5307043,4556017,5312603,4549793,5312542,4552928,5309791,34617602.656,34617602.6561,100
80424,8042,4,4556071,5307043,4562300,5307103,4562241,5312663,4556017,5312603,4559158,5309852,34617888.174,34617888.1739,100
80431,8043,1,4562241,5312663,4568465,5312737,4568399,5318296,4562180,5318221,4565321,5315478,34585473.311,18325065.9303,52.9857
80432,8043,2,4568465,5312737,4574688,5312811,4574615,5318369,4568399,5318296,4571539,5315552,34585839.566,252055.4684,0.7288
80433,8043,3,4562300,5307103,4568531,5307178,4568465,5312737,4562241,5312663,4565381,5309919,34618854.535,34618854.5349,100
80434,8043,4,4568531,5307178,4574759,5307251,4574688,5312811,4568465,5312737,4571611,5309993,34619220.79,12379673.7912,35.759
81261,8126,1,4350339,5303147,4356575,5302991,4356713,5308550,4350482,5308704,4353527,5305847,34665718.599,222692.2682,0.6424
81262,8126,2,4356575,5302991,4362810,5302837,4362941,5308394,4356713,5308550,4359757,5305692,34664946.618,27754876.8247,80.0641
81264,8126,4,4356437,5297433,4362677,5297277,4362810,5302837,4356575,5302991,4359625,5300133,34698286.81,20361243.7422,58.682
81271,8127,1,4362810,5302837,4369046,5302695,4369172,5308254,4362941,5308394,4365993,5305544,34662751.979,34662751.9795,100
81272,8127,2,4369046,5302695,4375282,5302555,4375401,5308112,4369172,5308254,4372223,5305403,34662060.373,34662060.373,100
81273,8127,3,4362677,5297277,4368920,5297137,4369046,5302695,4362810,5302837,4365861,5299985,34696106.067,34696106.0672,100
81274,8127,4,4368920,5297137,4375161,5296995,4375282,5302555,4369046,5302695,4372103,5299844,34695414.461,34695414.4607,100
81281,8128,1,4375282,5302555,4381517,5302427,4381631,5307985,4375401,5308112,4378458,5305268,34660057.795,34660057.7945,100
81282,8128,2,4381517,5302427,4387753,5302299,4387860,5307856,4381631,5307985,4384688,5305140,34659415.77,34659415.7703,100
81283,8128,3,4375161,5296995,4381403,5296868,4381517,5302427,4375282,5302555,4378338,5299710,34693411.283,34693411.2827,100
81284,8128,4,4381403,5296868,4387644,5296739,4387753,5302299,4381517,5302427,4384580,5299582,34692769.259,34692769.2586,100
81291,8129,1,4387753,5302299,4393989,5302184,4394091,5307743,4387860,5307856,4390924,5305019,34657633.305,34657633.305,100
81292,8129,2,4393989,5302184,4400225,5302070,4400320,5307628,4394091,5307743,4397154,5304905,34657072.298,34657072.2976,100
81293,8129,3,4387644,5296739,4393887,5296625,4393989,5302184,4387753,5302299,4390816,5299461,34690972.897,34690972.8969,100
81294,8129,4,4393887,5296625,4400128,5296510,4400225,5302070,4393989,5302184,4397058,5299346,34690411.889,34690411.8894,100
81301,8130,1,4400225,5302070,4406461,5301969,4406551,5307528,4400320,5307628,4403390,5304798,34655496.51,34655496.5099,100
81302,8130,2,4406461,5301969,4412697,5301869,4412780,5307426,4406551,5307528,4409620,5304697,34655000.877,34655000.8772,100
81303,8130,3,4400128,5296510,4406371,5296411,4406461,5301969,4400225,5302070,4403294,5299239,34688821.965,34688821.9654,100
81304,8130,4,4406371,5296411,4412612,5296309,4412697,5301869,4406461,5301969,4409536,5299138,34688326.333,34688326.3327,100
81311,8131,1,4412697,5301869,4418933,5301781,4419011,5307339,4412780,5307426,4415856,5304603,34653611.322,34653611.3219,100
81312,8131,2,4418933,5301781,4425169,5301693,4425240,5307251,4419011,5307339,4422086,5304515,34653196.323,34653196.3226,100
81313,8131,3,4412612,5296309,4418855,5296223,4418933,5301781,4412697,5301869,4415772,5299044,34686936.777,34686936.7775,100
81314,8131,4,4418855,5296223,4425096,5296134,4425169,5301693,4418933,5301781,4422014,5298957,34686521.778,34686521.7781,100
81321,8132,1,4425169,5301693,4431405,5301619,4431471,5307178,4425240,5307251,4428321,5304434,34652005.119,34652005.1194,100
81322,8132,2,4431405,5301619,4437641,5301545,4437699,5307103,4431471,5307178,4434551,5304360,34651639.604,34651639.6035,100
81323,8132,3,4425096,5296134,4431339,5296061,4431405,5301619,4425169,5301693,4428249,5298876,34685330.215,34685330.2152,100
81324,8132,4,4431339,5296061,4437580,5295986,4437641,5301545,4431405,5301619,4434491,5298802,34684964.699,34684964.6994,100
81331,8133,1,4437641,5301545,4443876,5301485,4443930,5307043,4437699,5307103,4440787,5304293,34650659.465,34650659.4647,100
81332,8133,2,4443876,5301485,4450112,5301425,4450159,5306982,4443930,5307043,4447017,5304233,34650343.402,34650343.4021,100
81333,8133,3,4437580,5295986,4443823,5295927,4443876,5301485,4437641,5301545,4440727,5298735,34683984.261,34683984.2608,100
81334,8133,4,4443823,5295927,4450063,5295865,4450112,5301425,4443876,5301485,4446969,5298674,34683668.198,34683668.1982,100
81341,8134,1,4450112,5301425,4456348,5301377,4456390,5306936,4450159,5306982,4453253,5304179,34649513.664,34649513.6644,100
81342,8134,2,4456348,5301377,4462584,5301331,4462619,5306888,4456390,5306936,4459483,5304132,34649293.84,34649293.8397,100
81343,8134,3,4450063,5295865,4456306,5295819,4456348,5301377,4450112,5301425,4453205,5298620,34682838.58,34682838.5804,100
81344,8134,4,4456306,5295819,4462547,5295771,4462584,5301331,4456348,5301377,4459447,5298573,34682618.756,34682618.7557,100
81351,8135,1,4462584,5301331,4468820,5301297,4468850,5306855,4462619,5306888,4465719,5304091,34648726.441,34648726.4414,100
81352,8135,2,4468820,5301297,4475056,5301263,4475079,5306821,4468850,5306855,4471949,5304058,34648556.04,34648556.0395,100
81353,8135,3,4462547,5295771,4468790,5295738,4468820,5301297,4462584,5301331,4465683,5298533,34682051.178,34682051.1776,100
81354,8135,4,4468790,5295738,4475031,5295703,4475056,5301263,4468820,5301297,4471925,5298499,34681880.776,34681880.7757,100
81361,8136,1,4475056,5301263,4481292,5301243,4481310,5306801,4475079,5306821,4478185,5304031,34648144.337,34648144.337,100
81362,8136,2,4481292,5301243,4487528,5301223,4487539,5306780,4481310,5306801,4484415,5304010,34648039.043,34648039.0434,100
81363,8136,3,4475031,5295703,4481274,5295684,4481292,5301243,4475056,5301263,4478161,5298472,34681455.116,34681455.1164,100
81364,8136,4,4481274,5295684,4487515,5295663,4487528,5301223,4481292,5301243,4484403,5298452,34681349.823,34681349.8228,100
81371,8137,1,4487528,5301223,4493765,5301216,4493771,5306775,4487539,5306780,4490651,5303997,34647847.517,34647847.5175,100
81372,8137,2,4493765,5301216,4500001,5301209,4500000,5306767,4493771,5306775,4496881,5303990,34647822.806,34647822.8062,100
81373,8137,3,4487515,5295663,4493759,5295657,4493765,5301216,4487528,5301223,4490639,5298438,34681172.194,34681172.1938,100
81374,8137,4,4493759,5295657,4500000,5295650,4500001,5301209,4493765,5301216,4496881,5298431,34681147.482,34681147.4824,100
81381,8138,1,4500001,5301209,4506237,5301216,4506231,5306775,4500000,5306767,4503118,5303990,34647822.806,34647822.8062,100
81382,8138,2,4506237,5301216,4512473,5301223,4512460,5306780,4506231,5306775,4509348,5303997,34647847.517,34647847.5175,100
81383,8138,3,4500000,5295650,4506243,5295657,4506237,5301216,4500001,5301209,4503118,5298431,34681147.482,34681147.4824,100
81384,8138,4,4506243,5295657,4512484,5295663,4512473,5301223,4506237,5301216,4509360,5298438,34681172.194,34681172.1938,100
81391,8139,1,4512473,5301223,4518709,5301243,4518691,5306801,4512460,5306780,4515584,5304010,34648039.043,34648039.0434,100
81392,8139,2,4518709,5301243,4524945,5301263,4524920,5306821,4518691,5306801,4521814,5304031,34648144.337,34648144.337,100
81393,8139,3,4512484,5295663,4518727,5295684,4518709,5301243,4512473,5301223,4515596,5298452,34681349.823,34681349.8228,100
81394,8139,4,4518727,5295684,4524968,5295703,4524945,5301263,4518709,5301243,4521838,5298472,34681455.116,34681455.1164,100
81401,8140,1,4524945,5301263,4531181,5301297,4531151,5306855,4524920,5306821,4528050,5304058,34648556.04,34648556.0395,100
81402,8140,2,4531181,5301297,4537417,5301331,4537380,5306888,4531151,5306855,4534280,5304091,34648726.441,34648726.4414,100
81403,8140,3,4524968,5295703,4531211,5295738,4531181,5301297,4524945,5301263,4528074,5298499,34681880.776,34681880.7757,100
81404,8140,4,4531211,5295738,4537452,5295771,4537417,5301331,4531181,5301297,4534316,5298533,34682051.178,34682051.1776,100
81411,8141,1,4537417,5301331,4543653,5301377,4543611,5306936,4537380,5306888,4540516,5304132,34649293.84,34649293.8397,100
81412,8141,2,4543653,5301377,4549889,5301425,4549840,5306982,4543611,5306936,4546746,5304179,34649513.664,34649513.6644,100
81413,8141,3,4537452,5295771,4543695,5295819,4543653,5301377,4537417,5301331,4540552,5298573,34682618.756,34682618.7557,100
81414,8141,4,4543695,5295819,4549936,5295865,4549889,5301425,4543653,5301377,4546794,5298620,34682838.58,34682838.5804,100
81421,8142,1,4549889,5301425,4556125,5301485,4556071,5307043,4549840,5306982,4552981,5304233,34650343.402,34650343.4021,100
81422,8142,2,4556125,5301485,4562361,5301545,4562300,5307103,4556071,5307043,4559211,5304293,34650659.465,34650659.4647,100
81423,8142,3,4549936,5295865,4556179,5295927,4556125,5301485,4549889,5301425,4553029,5298674,34683668.198,34683668.1982,100
81424,8142,4,4556179,5295927,4562419,5295986,4562361,5301545,4556125,5301485,4559271,5298735,34683984.261,34683984.2608,100
81431,8143,1,4562361,5301545,4568596,5301619,4568531,5307178,4562300,5307103,4565447,5304360,34651639.604,34651639.6035,100
81432,8143,2,4568596,5301619,4574832,5301693,4574759,5307251,4568531,5307178,4571677,5304434,34652005.119,28811729.3811,83.1463
81433,8143,3,4562419,5295986,4568662,5296061,4568596,5301619,4562361,5301545,4565507,5298802,34684964.699,34684964.6994,100
81434,8143,4,4568662,5296061,4574903,5296134,4574832,5301693,4568596,5301619,4571749,5298876,34685330.215,28357479.9775,81.7595
81441,8144,1,4574832,5301693,4581068,5301781,4580990,5307339,4574759,5307251,4577913,5304515,34653196.323,229536.0726,0.6624
81443,8144,3,4574903,5296134,4581146,5296223,4581068,5301781,4574832,5301693,4577985,5298957,34686521.778,400385.9187,1.1543
82261,8226,1,4350051,5292029,4356299,5291875,4356437,5297433,4350194,5297587,4353246,5294730,34731796.616,1241847.7538,3.5755
82262,8226,2,4356299,5291875,4362547,5291720,4362677,5297277,4356437,5297433,4359487,5294575,34731041.013,29618289.3075,85.2806
82264,8226,4,4356161,5286317,4362414,5286161,4362547,5291720,4356299,5291875,4359356,5289017,34764353.227,18577802.1121,53.4388
82271,8227,1,4362547,5291720,4368794,5291579,4368920,5297137,4362677,5297277,4365735,5294427,34728857.152,34728857.1516,100
82272,8227,2,4368794,5291579,4375042,5291437,4375161,5296995,4368920,5297137,4371977,5294286,34728151.707,34728151.7066,100
82273,8227,3,4362414,5286161,4368669,5286021,4368794,5291579,4362547,5291720,4365603,5288869,34762140.915,34762140.915,100
82274,8227,4,4368669,5286021,4374921,5285878,4375042,5291437,4368794,5291579,4371857,5288727,34761435.47,34761435.47,100
82281,8228,1,4375042,5291437,4381290,5291309,4381403,5296868,4375161,5296995,4378224,5294151,34726152.465,34726152.4646,100
82282,8228,2,4381290,5291309,4387537,5291181,4387644,5296739,4381403,5296868,4384466,5294023,34725527.642,34725527.6425,100
82283,8228,3,4374921,5285878,4381176,5285751,4381290,5291309,4375042,5291437,4378104,5288593,34759436.228,34759436.228,100
82284,8228,4,4381176,5285751,4387429,5285622,4387537,5291181,4381290,5291309,4384358,5288465,34758811.406,34758811.4059,100
82291,8229,1,4387537,5291181,4393785,5291067,4393887,5296625,4387644,5296739,4390714,5293902,34723727.65,34723727.65,100
82292,8229,2,4393785,5291067,4400033,5290953,4400128,5296510,4393887,5296625,4396956,5293788,34723152.182,34723152.1816,100
82293,8229,3,4387429,5285622,4393684,5285509,4393785,5291067,4387537,5291181,4390606,5288344,34757010.875,34757010.8747,100
82294,8229,4,4393684,5285509,4399937,5285393,4400033,5290953,4393785,5291067,4396860,5288229,34756435.406,34756435.4062,100
82301,8230,1,4400033,5290953,4406281,5290852,4406371,5296411,4400128,5296510,4403204,5293680,34721550.285,34721550.2854,100
82302,8230,2,4406281,5290852,4412529,5290751,4412612,5296309,4406371,5296411,4409446,5293580,34721055.409,34721055.4094,100
82303,8230,3,4399937,5285393,4406191,5285293,4406281,5290852,4400033,5290953,4403108,5288122,34754833.51,34754833.51,100
82304,8230,4,4406191,5285293,4412444,5285192,4412529,5290751,4406281,5290852,4409362,5288021,34754338.634,34754338.634,100
82311,8231,1,4412529,5290751,4418777,5290664,4418855,5296223,4412612,5296309,4415694,5293486,34719652.491,34719652.4915,100
82312,8231,2,4418777,5290664,4425025,5290577,4425096,5296134,4418855,5296223,4421936,5293398,34719206.938,34719206.9384,100
